artwork_name,artwork_category,artwork_image_path,artwork_format,artwork_material,batch_production,artwork_orientation,artwork_technique_es,artwork_technique_en,artwork_short_description_es,artwork_short_description_en,qr_link
La Yunza,actividades_ancestrales,https://drive.google.com/file/d/1i10PDjd7e9AwrdKPUtNHYLahOvXITH2o/view?usp=drive_link,A6,modigliani_260g,25,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza representa la festividad andina de la Yunza, un rito de celebración y abundancia en el que las comunidades se reúnen para danzar alrededor de un árbol adornado con regalos. Al son de la música y la alegría compartida, esta tradición fortalece los lazos comunitarios y simboliza la prosperidad.","This piece represents the Andean festivity of the Yunza, a ritual of celebration and abundance where communities gather to dance around a tree adorned with gifts. To the rhythm of music and shared joy, this tradition strengthens community bonds and symbolizes prosperity.",https://ar.totemiq.art/reality/La%20Yunza
Tejido 1,arte_inca,https://drive.google.com/file/d/1kamlJxmjs18VwXs61KtGdFCoK1zRR2we/view?usp=drive_link,A6,modigliani_260g,5,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza nace del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, Turismo Cuida, Qroma y la Municipalidad de Ollantaytambo. Inspirada en los tejidos andinos, cada hilo evoca historias y saberes transmitidos por generaciones. El patrón del rombo, presente en ponchos y cerámicas locales, simboliza el orden del Tahuantinsuyo y, para los pobladores, es también una tika (flor en quechua)","This piece originates from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, Turismo Cuida, Qroma, and the Municipality of Ollantaytambo. Inspired by Andean textiles, each thread evokes stories and ancestral knowledge passed down through generations. The diamond pattern, found in local ponchos and ceramics, symbolizes the order of the Tahuantinsuyo and, for the locals, also represents a tika (flower in Quechua).",https://totemiq.art
Mestiza Qollacha en fuxia,actividades_ancestrales,https://drive.google.com/file/d/1SV3c3tdenmAhRK-VGGDEHWQO6-_BWkpf/view?usp=drive_link,A6,modigliani_260g,25,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/
El Sueño de Carmen 2,astronomia_inca,https://drive.google.com/file/d/1IUNMVEOEel86McxV8AuYyLIYICtaRzd_/view?usp=drive_link,A6,modigliani_260g,10,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Pieza inspirada en la danza ""Danzaq"" de la Festividad de Paucartambo, una de las celebraciones más icónicas del patrimonio peruano. La pieza muestra a una niña contemplando la Vía Láctea como preludio al amanecer en Tres Cruces, un fenómeno óptico y astronómico único en el mundo, donde los primeros rayos del sol crean la ilusión de múltiples soles danzantes.","Is a piece inspired by the ""Danzaq"" dance from the Paucartambo Festivity, one of the most iconic celebrations of Peru’s cultural heritage. The artwork depicts a young girl gazing at the Milky Way as a prelude to the sunrise at Tres Cruces, a unique optical and astronomical phenomenon in the world, where the first rays of the sun create the illusion of multiple dancing suns.",https://ar.totemiq.art/reality/El%20sue%C3%B1o%20de%20carmen%202
La diversidad nos hace humanos,arte_popular_andino,https://drive.google.com/file/d/1mYqQkbW4WFE58NpnE0gafhGrNrPwL_yO/view?usp=drive_link,A6,modigliani_260g,5,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","La diversidad nos hace humanos Esta pieza representa la diversidad como el núcleo de la identidad humana. Inspirada en la cosmovisión andina y en la riqueza cultural del mundo, la obra fusiona elementos geométricos y cromáticos que simbolizan la interconexión de saberes, tradiciones y formas de entender el universo.","This piece represents diversity as the core of human identity. Inspired by the Andean worldview and the cultural richness of the world, the artwork merges geometric and chromatic elements that symbolize the interconnectedness of knowledge, traditions, and ways of understanding the universe.",https://ar.totemiq.art/
Qhapaq Qolla en amarillo,actividades_ancestrales,https://drive.google.com/file/d/1fxpciVe6rdRlUy2EiT9yMI_wax4jI9U5/view?usp=drive_link,A6,modigliani_260g,10,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/reality/Qhapaq-Qolla
La Dolorosa,actividades_ancestrales,https://drive.google.com/file/d/1qufdwCwhmIT1IUG4qmhYZPcI1B4Weznp/view?usp=drive_link,A6,modigliani_260g,25,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Creada en colaboración con la comunidad de Pachar, Totemiq, Turismo Cuida, Qroma y la Municipalidad de Ollantaytambo para el proyecto ""Pachar Pueblo Mural"", esta pieza fue pintada en la iglesia del pueblo. La Virgen Dolorosa representa a la Pachamama y a la montaña tras la iglesia del pueblo, celebrando el sincretismo andino-cristiano. El cielo de la obra reproduce las estrellas del 8 de diciembre, festividad mayor local, tal como se vería reflejado en un espejo de agua inca.","Created in collaboration with the community of Pachar, Totemiq, Turismo Cuida, Qroma, and the Municipality of Ollantaytambo for the “Pachar Pueblo Mural” project, this piece was painted on the village church. The Dolorosa Virgin embodies both Pachamama and the mountain that rises behind the church, celebrating Andean-Christian syncretism. The sky in the artwork depicts the stars of December 8, the community’s most important festivity, as they would appear reflected in an Inca water mirror.",https://ar.totemiq.art/reality/Qhapaq-Qolla
Ukuko en azul,actividades_ancestrales,https://drive.google.com/file/d/1FqJQPE2nZAxIi80s7VBJJTzpOJcdfCqf/view?usp=drive_link,A6,modigliani_260g,5,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/
La Yunta,actividades_ancestrales,https://drive.google.com/file/d/1rnQMWD8Bv0aEwG49LJH14kgldLo3Yv1G/view?usp=drive_link,A6,modigliani_260g,25,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo. La pieza representa la 'Yunta', una pareja de toros unidos por un yugo para arar la tierra. La Yunta, como práctica agrícola tradicional en los Andes, es fundamental para la economía rural.","This piece is part of the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the Municipality of Ollantaytambo. The artwork depicts the 'Yunta,' a pair of bulls harnessed together by a yoke to plow the land. As a traditional agricultural practice in the Andes, the Yunta remains essential to the rural economy.",https://totemiq.art
La pezca de niños,actividades_ancestrales,https://drive.google.com/file/d/1Cyg5IeSVmIVK2je3RwYQPBgdSjCh92B3/view?usp=drive_link,A6,modigliani_260g,25,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo. Esta pieza, representa la pesca de niños de los peces QaQas, especie extinta por el calentamiento global. Actividad que recuerda la infancia de los pobladores de Pachar.","This piece emerges from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the Municipality of Ollantaytambo.
This artwork depicts children fishing for QaQas fish, a species now extinct due to global warming. This activity evokes the childhood memories of the people of Pachar, connecting past traditions with the present.",https://totemiq.art
La pezca en noches de luna llena,actividades_ancestrales,https://drive.google.com/file/d/1RxcWlK-UTJRA0VfLQd0mv42xvznKn0LE/view?usp=drive_link,A6,modigliani_260g,10,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta obra pertenece al proyecto Pachar Pueblo Mural, fruto de la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo. La ilustración retrata la pesca nocturna en el río Vilcanota durante la luna llena, una práctica ancestral que encarna la conexión espiritual de los incas con la naturaleza y el cosmos. Transmitido por generaciones, este saber sigue vivo en las comunidades andinas","This artwork is part of the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo. The illustration depicts night fishing on the Vilcanota River under the full moon—an ancestral practice that embodies the Incas’ spiritual connection with nature and the cosmos. Passed down through generations, this knowledge remains alive in Andean communities today.",https://totemiq.art
Monalisa Mestiza,arte_popular_andino,https://drive.google.com/file/d/1KlhiJaIh3JecThUuQv_2684-qkc7Hasm/view?usp=drive_link,A6,modigliani_260g,20,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en el Arte Popular y Textil Cusqueño, reflejando la riqueza de los bordados tradicionales de las diferentes provincias del Cusco. En estos tejidos, la fusión de culturas dio origen a un estilo único, donde la flora, fauna y símbolos andinos se entrelazan con influencias coloniales, generando un lenguaje visual que ha perdurado a lo largo del tiempo.
","This piece is inspired by Cusqueño Folk and Textile Art, reflecting the richness of traditional embroidery from the various provinces of Cusco. In these textiles, the fusion of cultures gave rise to a unique style, where Andean flora, fauna, and symbols intertwine with colonial influences, creating a visual language that has endured over time.",https://ar.totemiq.art/reality/Monalisa%20Mestiza
Tinkus,actividades_ancestrales,https://drive.google.com/file/d/1Y-SwVsojcYJmV0UZwaLEP9sYwZcGUJYl/view?usp=drive_link,A6,modigliani_260g,40,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/
Ukuko en amarillo,actividades_ancestrales,https://drive.google.com/file/d/1k_5nqhKwYb8q-zPef0SHVeI53nw17GBh/view?usp=drive_link,A6,modigliani_260g,10,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en la colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo, en el marco del proyecto de muralización comunitaria Pachar Pueblo Mural del Proyecto Arco Iris. Refleja las historias y el sistema de conocimientos ancestrales que siguen vivos en la cultura andina. ","This piece is inspired by the collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the District Municipality of Ollantaytambo as part of the Pachar Pueblo Mural community mural project under the Arco Iris Initiative. It reflects the stories and ancestral knowledge systems that remain alive in Andean culture.",https://ar.totemiq.art/reality/Ukuko
Constelaciones Oscuras,astronomia_inca,https://drive.google.com/file/d/1QpW9KUnh2vW59geMSaaQ85YqJUFDuMLZ/view?usp=drive_link,A6,modigliani_260g,10,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","En la Astronomía Andina, la Vía Láctea se concebía como un majestuoso río celestial, un lazo eterno que unía el cielo y la tierra en un místico ciclo de renovación del agua. Se decía que la Tierra formaba parte de un gran mar cósmico, y que la Vía Láctea trazaba su recorrido en el cielo, cambiando aparentemente de posición con los solsticios. Los incas también identificaron seres divinos en los espacios oscuros entre las constelaciones, dándoles forma de animales sagrados.","In Andean astronomy, the Milky Way was conceived as a majestic celestial river—an eternal bond linking the sky and the earth in a mystical cycle of water renewal. It was said that the Earth was part of a vast cosmic sea, with the Milky Way tracing its path across the heavens, seemingly shifting its position with the solstices. The Incas also recognized divine beings hidden in the dark spaces between the constellations, giving them the forms of sacred animals.",https://ar.totemiq.art/
Magnolia,arte_popular_andino,https://drive.google.com/file/d/10E6KDakLeaJaspJs6flDxTQI_MAnKj51/view?usp=drive_link,A6,modigliani_260g,25,vertical,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza se inspira en el Arte Popular y Textil Cusqueño, reflejando la riqueza de los bordados tradicionales de las diferentes provincias del Cusco. En estos tejidos, la fusión de culturas dio origen a un estilo único, donde la flora, fauna y símbolos andinos se entrelazan con influencias coloniales, generando un lenguaje visual que ha perdurado a lo largo del tiempo.","This piece is inspired by Cusqueño Folk and Textile Art, reflecting the richness of traditional embroidery from the various provinces of Cusco. In these textiles, the fusion of cultures gave rise to a unique style, where Andean flora, fauna, and symbols intertwine with colonial influences, creating a visual language that has endured over time.",https://ar.totemiq.art/reality/Magnolia
Colonial 2,arte_colonial,https://drive.google.com/file/d/1Qp9dfuiOvTGHxhgneF4g3jPtQtPPArpk/view?usp=drive_link,A6,modigliani_260g,10,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo Se inspira en la iconografía colonial presente en los bordados de trajes festivos y vestimentas religiosas de Pachar. En ellos, la flora y fauna andina se fusionan con los motivos introducidos en la colonia, creando un sincretismo visual único que refleja la identidad cultural de los Andes.","This piece emerges from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the Municipalidad Distrital de Ollantaytambo.
It is inspired by the colonial iconography found in the embroidered festive attire and religious garments of Pachar. In these textiles, Andean flora and fauna intertwine with motifs introduced during the colonial period, creating a unique visual syncretism that reflects the cultural identity of the Andes.",https://totemiq.art
Colonial 3,arte_colonial,https://drive.google.com/file/d/1fIx4UFgaKGPbnU0dJ-aDeOxf-DVywk-S/view?usp=drive_link,A6,modigliani_260g,10,horizontal,"Impresión de alta calidad sobre papel Modigliani de 260g, libre de ácido con certificación FSC.","High-quality print on 260g Modigliani paper, acid-free and FSC-certified.","Esta pieza surge del proyecto Pachar Pueblo Mural, una colaboración entre Totemiq, la comunidad de Pachar, la ONG Turismo Cuida, Qroma y la Municipalidad Distrital de Ollantaytambo Se inspira en la iconografía colonial presente en los bordados de trajes festivos y vestimentas religiosas de Pachar. En ellos, la flora y fauna andina se fusionan con los motivos introducidos en la colonia, creando un sincretismo visual único que refleja la identidad cultural de los Andes.
 ","This piece emerges from the Pachar Pueblo Mural project, a collaboration between Totemiq, the community of Pachar, the NGO Turismo Cuida, Qroma, and the Municipalidad Distrital de Ollantaytambo.
It is inspired by the colonial iconography found in the embroidered festive attire and religious garments of Pachar. In these textiles, Andean flora and fauna intertwine with motifs introduced during the colonial period, creating a unique visual syncretism that reflects the cultural identity of the Andes.",https://totemiq.art
